Jurisdiction of Occurrence,Week ,All Cause
Georgia,55,"1,871"
Georgia,56,"1,787"
Georgia,57,"1,799"
Georgia,58,"1,707"
Georgia,59,"1,685"
Georgia,60,"1,635"
Georgia,61,"1,642"
Georgia,62,"1,586"
Georgia,63,"1,409"
Georgia,64,"1,115"
Georgia,65,700
Hawaii,-11,242
Hawaii,-10,242
Hawaii,-9,215
Hawaii,-8,242
Hawaii,-7,242
Hawaii,-6,236
Hawaii,-5,281
Hawaii,-4,250
Hawaii,-3,238
Hawaii,-2,239
Hawaii,-1,243
Hawaii,0,212
Hawaii,1,235
Hawaii,2,235
Hawaii,3,221
Hawaii,4,211
Hawaii,5,200
Hawaii,6,223
Hawaii,7,210
Hawaii,8,230
Hawaii,9,210
Hawaii,10,200
Hawaii,11,217
Hawaii,12,203
Hawaii,13,246
Hawaii,14,236
Hawaii,15,207
Hawaii,16,239
Hawaii,17,227
Hawaii,18,219
Hawaii,19,217
Hawaii,20,231
Hawaii,21,223
Hawaii,22,242
Hawaii,23,255
Hawaii,24,235
Hawaii,25,274
Hawaii,26,242
Hawaii,27,242
Hawaii,28,214
Hawaii,29,231
Hawaii,30,237
Hawaii,31,237
Hawaii,32,238
Hawaii,33,236
Hawaii,34,249
Hawaii,35,224
Hawaii,36,216
Hawaii,37,237
Hawaii,38,212
Hawaii,39,249
Hawaii,40,198
Hawaii,41,225
Hawaii,42,215
Hawaii,43,246
Hawaii,44,205
Hawaii,45,225
Hawaii,46,237
Hawaii,47,264
Hawaii,48,250
Hawaii,49,261
Hawaii,50,228
Hawaii,51,252
Hawaii,52,233
Hawaii,53,241
Hawaii,54,247
Hawaii,55,248
Hawaii,56,217
Hawaii,57,251
Hawaii,58,232
Hawaii,59,234
Hawaii,60,229
Hawaii,61,251
Hawaii,62,205
Hawaii,63,196
Hawaii,64,197
Hawaii,65,174
Idaho,-11,278
Idaho,-10,292
Idaho,-9,293
Idaho,-8,275
Idaho,-7,249
Idaho,-6,292
Idaho,-5,279
Idaho,-4,318
Idaho,-3,290
Idaho,-2,278
Idaho,-1,282
Idaho,0,308
Idaho,1,332
Idaho,2,271
Idaho,3,306
Idaho,4,283
Idaho,5,262
Idaho,6,252
Idaho,7,304
Idaho,8,269
